id,name,market,season,assists,assists_turnover_ratio,bench_points,blocked_att,blocks,coach_ejections,coach_tech_fouls,defensive_assists,defensive_rating,defensive_rebounds,effective_fg_pct,efficiency,ejections,fast_break_att,fast_break_made,fast_break_pct,fast_break_pts,field_goals_at_midrange_att,field_goals_at_midrange_made,field_goals_at_midrange_pct,field_goals_at_rim_att,field_goals_at_rim_made,field_goals_at_rim_pct,field_goals_att,field_goals_made,field_goals_pct,flagrant_fouls,foulouts,fouls_drawn,free_throws_att,free_throws_made,free_throws_pct,games_played,minutes,net_rating,offensive_fouls,offensive_rating,offensive_rebounds,opponent_possessions,personal_fouls,points,points_against,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,points_off_turnovers,possessions,rebounds,second_chance_att,second_chance_made,second_chance_pct,second_chance_pts,steals,team_defensive_rebounds,team_fouls,team_offensive_rebounds,team_rebounds,team_tech_fouls,team_turnovers,tech_fouls,technical_other,three_points_att,three_points_made,three_points_pct,total_fouls,total_rebounds,total_turnovers,true_shooting_att,true_shooting_pct,turnovers,two_points_att,two_points_made,two_points_pct
f073a15f-0486-4179-b0a3-dfd0294eb595,Fever,Indiana,2020,422,1.28,506,77,70,0,1,0,110.25,544,0.494,1916,0,50,37,0.74,78,359,129,0.359,232,167,0.72,1467,648,0.442,0,0,409,426,349,0.819,22,4400.0,-10.77,35,99.48,197,1786.92,390,1797,1970,730,669,365,0.546,248,1806.44,741,186,101,0.543,265,112,56,2,122,178,1,19,4,0,440,152,0.345,392,919,349,1654.44,0.543,330,1027,496,0.483
4f57ec40-0d35-4b59-bea0-9d040f0d2292,Valkyries,Golden State,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Sparks,Los Angeles,2021,494,1.17,651,129,135,0,2,0,95.0,741,0.462,2376,0,166,100,0.602,237,438,156,0.356,479,299,0.624,2108,865,0.41,3,3,591,499,382,0.766,32,6450.0,-4.68,52,90.32,194,2596.88,618,2328,2467,988,1029,494,0.48,491,2577.56,935,209,109,0.522,220,266,63,12,173,236,10,23,23,0,645,216,0.335,630,1171,445,2327.56,0.5,422,1463,649,0.444
08ed8274-e29f-4248-bc2e-83cc8ed18d75,Liberty,New York,2020,327,0.89,578,104,94,0,0,0,101.72,612,0.43,1577,0,89,52,0.584,116,202,63,0.312,231,146,0.632,1451,540,0.372,2,3,401,406,334,0.823,22,4400.0,-16.11,55,85.61,175,1857.12,420,1581,1889,622,649,311,0.479,214,1846.64,787,169,63,0.373,143,139,55,3,120,175,3,24,7,0,602,167,0.277,423,962,392,1629.64,0.485,368,849,373,0.439
171b097d-01db-4ae8-9d56-035689402ec6,Aces,Las Vegas,2020,457,1.71,769,104,66,0,1,0,95.5,644,0.507,2315,0,104,73,0.702,154,407,157,0.386,276,207,0.75,1512,720,0.476,0,0,454,514,419,0.815,22,4400.0,10.87,38,106.37,179,1846.16,331,1952,1763,942,850,471,0.554,353,1835.16,823,167,87,0.521,209,172,48,4,115,163,3,8,6,0,254,93,0.366,335,986,276,1738.16,0.562,268,1258,627,0.498
a015b02d-845c-40c1-8ef4-844984f47e4d,Sun,Connecticut,2021,575,1.3,455,148,115,0,2,0,90.1,860,0.497,2948,0,121,77,0.636,184,412,139,0.337,630,385,0.611,2100,933,0.444,1,3,576,566,462,0.816,32,6450.0,11.05,78,101.15,311,2482.72,570,2551,2237,1148,1068,574,0.537,509,2522.04,1171,320,169,0.528,367,251,82,8,193,275,6,40,10,0,625,223,0.357,578,1446,484,2349.04,0.543,444,1475,710,0.481
f073a15f-0486-4179-b0a3-dfd0294eb595,Fever,Indiana,2021,534,1.21,602,138,121,0,0,0,105.89,792,0.452,2541,1,190,106,0.558,268,599,237,0.396,644,379,0.589,2183,909,0.416,4,6,576,544,435,0.8,32,6400.0,-13.03,56,92.86,307,2572.48,568,2410,2724,1030,1029,515,0.5,403,2595.36,1099,312,140,0.449,364,200,78,1,188,266,1,40,9,0,552,157,0.284,569,1365,480,2422.36,0.497,440,1631,752,0.461
4f57ec40-0d35-4b59-bea0-9d040f0d2292,Valkyries,Golden State,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Storm,Seattle,2021,682,1.72,713,116,135,0,0,0,96.72,909,0.513,3219,0,213,149,0.7,380,444,162,0.365,473,305,0.645,2203,992,0.45,3,1,548,542,455,0.839,32,6525.0,6.65,49,103.37,229,2659.24,497,2714,2572,1118,1039,559,0.538,465,2625.48,1138,222,109,0.491,249,244,62,4,128,190,4,17,4,0,725,275,0.379,501,1328,413,2441.48,0.556,396,1478,717,0.485
6f017f37-be96-4bdc-b6d3-0a0429c72e89,Lynx,Minnesota,2021,653,1.45,649,134,131,0,4,0,95.35,885,0.508,3062,0,174,101,0.58,263,414,171,0.413,546,354,0.648,2146,982,0.458,3,2,559,558,467,0.837,32,6450.0,5.47,63,100.82,233,2641.72,561,2647,2519,1196,1102,598,0.543,373,2625.52,1118,248,124,0.5,246,217,85,15,153,238,11,18,23,0,635,216,0.34,576,1356,467,2391.52,0.553,449,1511,766,0.507
5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Dream,Atlanta,2020,371,1.17,380,84,73,0,0,0,104.73,568,0.484,1869,0,97,76,0.784,157,434,167,0.385,258,166,0.643,1563,691,0.442,0,4,367,355,269,0.758,22,4425.0,-8.31,35,96.42,199,1840.96,408,1781,1928,792,756,396,0.524,330,1847.2,767,205,90,0.439,212,151,44,2,116,160,2,11,3,0,371,130,0.35,410,927,327,1719.2,0.518,316,1192,561,0.471
0699edf3-5993-4182-b9b4-ec935cbd4fcc,Mercury,Phoenix,2023,763,1.29,798,157,170,0,4,0,104.96,971,0.497,3319,0,229,118,0.515,292,474,182,0.384,526,354,0.673,2558,1136,0.444,6,5,695,649,521,0.803,40,8025.0,-9.91,97,95.05,264,3235.6,753,3064,3396,1368,1268,684,0.539,441,3223.56,1235,261,136,0.521,312,227,101,15,200,301,11,54,25,0,827,271,0.328,768,1536,644,2843.56,0.539,590,1731,865,0.5
d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Storm,Seattle,2020,482,1.66,543,63,89,0,0,0,91.7,590,0.532,2318,0,99,73,0.737,154,287,114,0.397,265,198,0.747,1491,701,0.47,0,1,362,415,339,0.817,22,4400.0,14.44,34,106.14,167,1823.36,364,1926,1672,812,741,406,0.548,392,1814.6,757,170,86,0.506,213,221,44,1,105,149,1,17,2,0,470,185,0.394,365,906,308,1673.6,0.575,291,1021,516,0.505
6f017f37-be96-4bdc-b6d3-0a0429c72e89,Lynx,Minnesota,2020,435,1.4,425,85,66,0,1,0,99.86,538,0.518,2114,0,64,47,0.734,103,291,107,0.368,237,168,0.709,1475,673,0.456,0,3,386,402,329,0.818,22,4400.0,5.6,31,105.46,218,1775.48,372,1857,1773,768,716,384,0.536,265,1760.88,756,202,107,0.53,233,185,37,7,95,132,6,17,9,0,473,182,0.385,379,888,327,1651.88,0.562,310,1002,491,0.49
5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Dream,Atlanta,2021,558,1.58,712,126,149,0,0,0,102.97,782,0.458,2736,0,219,134,0.612,317,630,236,0.375,589,342,0.581,2352,980,0.417,1,0,521,503,362,0.72,32,6450.0,-7.75,52,95.22,311,2620.2,588,2518,2698,1094,1090,547,0.502,474,2644.32,1093,318,138,0.434,311,285,58,6,177,235,6,28,12,0,632,196,0.31,594,1328,382,2573.32,0.489,354,1720,784,0.456
0699edf3-5993-4182-b9b4-ec935cbd4fcc,Mercury,Phoenix,2022,693,1.44,501,114,163,0,4,0,101.5,876,0.495,3195,2,255,140,0.549,338,314,116,0.369,597,381,0.638,2395,1028,0.429,6,4,661,671,548,0.817,36,7275.0,-2.76,93,98.74,246,2983.12,714,2920,3028,1196,1124,598,0.532,487,2957.24,1122,240,112,0.467,259,267,102,13,168,270,9,33,36,0,961,316,0.329,727,1392,513,2690.24,0.543,480,1434,712,0.497
0699edf3-5993-4182-b9b4-ec935cbd4fcc,Mercury,Phoenix,2024,794,1.5,561,133,189,0,3,0,102.94,1024,0.503,3631,2,230,115,0.5,290,422,175,0.415,539,386,0.716,2653,1164,0.439,6,4,679,737,589,0.799,40,8050.0,-3.38,71,99.56,269,3293.12,676,3258,3390,1310,1196,655,0.548,489,3272.28,1293,273,136,0.498,320,264,125,19,192,317,16,34,50,0,1046,341,0.326,695,1610,564,2977.28,0.547,530,1607,823,0.512
5f0b5caf-708b-4300-92f2-53b51d83ec06,Wings,Dallas,2020,344,1.44,476,74,70,0,1,0,106.41,522,0.478,1918,0,95,73,0.768,160,284,89,0.313,202,151,0.748,1562,648,0.415,0,4,387,421,343,0.815,22,4450.0,-5.65,41,100.76,198,1797.72,433,1835,1913,728,678,364,0.537,233,1821.24,720,194,89,0.459,149,180,52,10,130,182,9,33,15,0,607,196,0.323,443,902,272,1747.24,0.525,239,955,452,0.473
5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Mystics,Washington,2020,434,1.63,347,62,49,0,3,0,101.57,532,0.493,1930,0,64,47,0.734,97,328,131,0.399,194,128,0.66,1507,652,0.433,0,1,368,331,273,0.825,22,4450.0,-3.39,26,98.18,161,1766.28,373,1760,1794,676,644,338,0.525,301,1792.64,693,163,74,0.454,174,173,58,11,100,158,8,35,14,0,536,183,0.341,384,851,301,1652.64,0.532,266,971,469,0.483
5f0b5caf-708b-4300-92f2-53b51d83ec06,Wings,Dallas,2021,557,1.37,951,165,124,0,0,0,101.38,835,0.477,2840,0,230,129,0.561,332,441,154,0.349,543,337,0.621,2262,949,0.42,2,4,504,526,436,0.829,32,6450.0,-2.16,76,99.22,320,2577.36,589,2596,2613,1064,1085,532,0.49,420,2616.44,1155,324,141,0.435,345,219,68,7,169,237,7,35,21,0,740,262,0.354,596,1392,443,2493.44,0.521,408,1522,687,0.451
5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Mystics,Washington,2021,596,1.52,512,114,99,0,2,0,102.86,805,0.475,2728,0,96,65,0.677,154,430,144,0.335,341,231,0.677,2215,908,0.41,1,0,557,556,449,0.808,32,6425.0,-5.11,57,97.75,260,2601.64,551,2553,2676,950,908,475,0.523,428,2611.64,1065,263,107,0.407,253,222,72,9,151,223,7,19,16,0,878,288,0.328,560,1288,412,2459.64,0.519,393,1337,620,0.464
