id,name,market,season,assists,assists_turnover_ratio,bench_points,blocked_att,blocks,coach_ejections,coach_tech_fouls,defensive_assists,defensive_rating,defensive_rebounds,effective_fg_pct,efficiency,ejections,fast_break_att,fast_break_made,fast_break_pct,fast_break_pts,field_goals_at_midrange_att,field_goals_at_midrange_made,field_goals_at_midrange_pct,field_goals_at_rim_att,field_goals_at_rim_made,field_goals_at_rim_pct,field_goals_att,field_goals_made,field_goals_pct,flagrant_fouls,foulouts,fouls_drawn,free_throws_att,free_throws_made,free_throws_pct,games_played,minutes,net_rating,offensive_fouls,offensive_rating,offensive_rebounds,opponent_possessions,personal_fouls,points,points_against,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,points_off_turnovers,possessions,rebounds,second_chance_att,second_chance_made,second_chance_pct,second_chance_pts,steals,team_defensive_rebounds,team_fouls,team_offensive_rebounds,team_rebounds,team_tech_fouls,team_turnovers,tech_fouls,technical_other,three_points_att,three_points_made,three_points_pct,total_fouls,total_rebounds,total_turnovers,true_shooting_att,true_shooting_pct,turnovers,two_points_att,two_points_made,two_points_pct
0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Sparks,Los Angeles,2022,680,1.37,759,122,142,0,3,0,104.52,844,0.486,3111,0,255,156,0.612,368,519,163,0.314,684,468,0.684,2409,1074,0.446,4,4,665,658,517,0.786,36,7225.0,-8.47,56,96.05,250,2981.36,657,2860,3116,1422,1271,711,0.559,510,2977.52,1094,262,130,0.496,261,308,84,15,174,258,12,32,24,0,609,195,0.32,672,1352,529,2698.52,0.53,497,1800,879,0.488
08ed8274-e29f-4248-bc2e-83cc8ed18d75,Liberty,New York,2023,965,1.79,608,139,178,0,1,0,96.97,1168,0.539,4328,1,321,181,0.564,468,358,126,0.352,696,478,0.687,2797,1286,0.46,8,2,687,667,553,0.829,40,8075.0,10.81,82,107.78,347,3322.84,640,3569,3222,1424,1245,712,0.572,570,3311.48,1515,341,163,0.478,424,266,84,8,189,273,7,28,13,0,1187,444,0.374,648,1788,568,3090.48,0.577,540,1610,842,0.523
0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Sparks,Los Angeles,2024,787,1.32,987,204,129,1,3,0,104.56,1013,0.478,3338,2,263,153,0.582,385,328,86,0.262,696,444,0.638,2655,1124,0.423,3,3,721,783,599,0.765,40,8025.0,-10.79,76,93.77,294,3275.52,715,3136,3425,1498,1433,749,0.523,538,3344.52,1307,314,140,0.446,368,292,85,14,277,362,10,41,18,0,902,289,0.32,729,1669,639,2999.52,0.523,598,1753,835,0.476
f073a15f-0486-4179-b0a3-dfd0294eb595,Fever,Indiana,2022,649,1.19,813,152,129,0,1,0,105.66,845,0.458,2841,0,251,131,0.522,327,552,187,0.339,691,393,0.569,2498,1021,0.409,4,3,648,697,520,0.746,36,7250.0,-13.5,73,92.16,352,3034.16,719,2807,3206,1184,1224,592,0.484,510,3045.68,1197,348,152,0.437,373,258,75,5,237,312,4,48,12,0,724,245,0.338,724,1509,593,2804.68,0.5,545,1774,776,0.437
a015b02d-845c-40c1-8ef4-844984f47e4d,Sun,Connecticut,2022,758,1.47,859,132,97,0,2,0,94.69,969,0.508,3592,0,313,192,0.613,455,525,206,0.392,837,513,0.613,2484,1147,0.462,1,2,680,715,564,0.789,36,7250.0,8.46,74,103.15,367,2955.88,615,3088,2799,1428,1318,714,0.542,618,2993.6,1336,361,180,0.499,425,318,66,9,235,301,7,45,21,0,649,230,0.354,624,1637,562,2798.6,0.552,517,1835,917,0.5
171b097d-01db-4ae8-9d56-035689402ec6,Aces,Las Vegas,2023,868,1.95,538,115,191,0,3,0,95.8,1147,0.553,4493,0,336,209,0.622,512,455,207,0.455,417,289,0.693,2767,1344,0.486,5,2,695,779,654,0.84,40,8000.0,15.58,59,111.38,246,3351.88,638,3713,3211,1538,1323,769,0.581,642,3333.76,1393,266,139,0.523,356,321,101,10,166,267,7,25,15,0,996,371,0.372,648,1660,470,3109.76,0.597,445,1771,973,0.549
4f57ec40-0d35-4b59-bea0-9d040f0d2292,Valkyries,Golden State,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f073a15f-0486-4179-b0a3-dfd0294eb595,Fever,Indiana,2024,816,1.44,659,151,173,0,1,0,105.05,1071,0.523,3812,0,293,161,0.549,396,350,123,0.351,832,516,0.62,2741,1250,0.456,2,5,685,685,531,0.775,40,8025.0,-2.78,67,102.27,331,3337.32,726,3399,3506,1516,1366,758,0.555,503,3323.4,1402,340,175,0.515,414,235,108,10,206,314,9,44,28,0,1034,368,0.356,736,1716,612,3042.4,0.559,568,1707,882,0.517
a015b02d-845c-40c1-8ef4-844984f47e4d,Sun,Connecticut,2024,796,1.65,703,183,146,0,1,0,92.51,1004,0.488,3655,1,299,175,0.585,431,454,167,0.368,785,490,0.624,2637,1170,0.444,4,1,725,835,629,0.753,40,8050.0,7.51,60,100.02,334,3182.4,645,3204,2944,1544,1472,772,0.524,722,3203.4,1338,336,165,0.491,447,326,87,7,251,338,6,51,18,0,719,235,0.327,652,1676,533,3004.4,0.533,482,1918,935,0.487
6f017f37-be96-4bdc-b6d3-0a0429c72e89,Lynx,Minnesota,2022,743,1.41,964,142,102,0,3,0,102.6,1007,0.501,3359,0,221,115,0.52,292,489,183,0.374,634,407,0.642,2414,1087,0.45,6,3,643,699,548,0.784,36,7250.0,-2.25,60,100.35,323,2944.52,610,2968,3021,1320,1221,660,0.541,376,2957.56,1330,322,159,0.494,336,220,78,16,182,260,13,33,21,0,707,246,0.348,626,1590,559,2721.56,0.545,526,1707,841,0.493
d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Storm,Seattle,2022,813,1.77,663,105,150,0,0,0,95.33,928,0.509,3502,0,289,177,0.612,432,487,168,0.345,522,354,0.678,2478,1095,0.442,4,2,578,542,447,0.825,36,7225.0,6.4,62,101.73,280,2960.16,560,2970,2822,1188,1072,594,0.554,618,2919.48,1208,256,138,0.539,354,299,91,1,129,220,1,23,2,0,922,333,0.361,561,1428,483,2716.48,0.547,460,1556,762,0.49
d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Storm,Seattle,2024,826,1.67,588,183,206,0,2,0,94.78,1040,0.478,3898,0,333,189,0.568,455,507,194,0.383,661,449,0.679,2852,1242,0.435,1,4,656,718,603,0.84,40,8050.0,4.74,56,99.52,346,3323.44,660,3329,3150,1620,1513,810,0.535,632,3344.92,1386,359,173,0.482,392,372,103,16,207,310,14,27,21,0,840,242,0.288,676,1696,523,3167.92,0.525,496,2012,1000,0.497
5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Dream,Atlanta,2023,743,1.37,838,174,185,1,5,0,99.15,1123,0.475,3622,1,312,171,0.548,423,540,205,0.38,699,432,0.618,2748,1176,0.428,3,6,791,878,692,0.788,40,8050.0,-1.93,79,97.22,321,3388.72,772,3301,3360,1430,1449,715,0.493,448,3395.32,1444,318,162,0.509,361,251,89,26,239,328,20,38,31,0,766,257,0.336,798,1772,582,3134.32,0.527,544,1982,919,0.464
6f017f37-be96-4bdc-b6d3-0a0429c72e89,Lynx,Minnesota,2024,921,1.72,720,146,168,0,1,0,92.15,1073,0.518,3929,0,334,181,0.542,447,603,269,0.446,551,354,0.642,2692,1205,0.448,4,1,626,619,489,0.79,40,8075.0,9.14,53,101.29,297,3281.64,654,3279,3024,1130,1101,565,0.513,691,3237.36,1370,303,150,0.495,374,343,80,6,181,261,5,35,11,0,1000,380,0.38,660,1631,570,2964.36,0.553,535,1692,825,0.488
0699edf3-5993-4182-b9b4-ec935cbd4fcc,Mercury,Phoenix,2020,448,1.46,485,67,123,0,0,0,99.33,582,0.513,2163,0,98,69,0.704,159,275,118,0.429,213,145,0.681,1475,664,0.45,1,1,442,463,382,0.825,22,4425.0,3.23,49,102.56,165,1863.44,434,1895,1851,728,663,364,0.549,321,1847.72,747,148,67,0.453,174,149,53,4,102,155,4,27,13,0,540,185,0.343,438,902,334,1678.72,0.564,307,935,479,0.512
6f017f37-be96-4bdc-b6d3-0a0429c72e89,Lynx,Minnesota,2023,777,1.45,772,170,105,0,1,0,103.19,1052,0.485,3505,1,265,137,0.517,343,528,193,0.366,658,415,0.631,2701,1174,0.435,9,1,715,735,588,0.8,40,8050.0,-5.31,77,97.88,318,3294.0,675,3206,3399,1422,1340,711,0.531,431,3275.4,1370,320,154,0.481,297,257,84,15,196,280,14,33,19,0,832,270,0.325,690,1650,569,3024.4,0.53,536,1869,904,0.484
d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Storm,Seattle,2023,706,1.22,795,162,178,0,3,0,102.11,1067,0.472,3371,0,299,171,0.572,436,459,134,0.292,596,386,0.648,2718,1114,0.41,5,3,703,744,585,0.786,40,8025.0,-7.49,69,94.62,329,3308.2,717,3153,3378,1282,1301,641,0.493,454,3332.36,1396,332,156,0.47,362,279,75,14,228,303,11,38,17,0,968,340,0.351,731,1699,616,3045.36,0.518,578,1750,774,0.442
5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Dream,Atlanta,2024,735,1.47,681,164,148,0,2,0,98.23,1075,0.452,3402,0,257,128,0.498,337,591,211,0.357,689,420,0.61,2723,1112,0.408,0,2,702,800,617,0.771,40,8075.0,-3.66,64,94.57,369,3247.32,674,3080,3190,1334,1366,667,0.488,441,3257.0,1444,376,173,0.46,361,288,100,20,251,351,18,52,25,0,775,239,0.308,694,1795,551,3075.0,0.501,499,1948,873,0.448
5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Dream,Atlanta,2022,632,1.15,860,169,112,0,3,0,98.48,966,0.475,3012,1,265,134,0.506,360,569,201,0.353,597,356,0.596,2463,1035,0.42,7,5,643,624,485,0.777,36,7250.0,-4.52,87,93.96,311,2979.28,702,2826,2934,1138,1133,569,0.502,432,3007.56,1277,311,150,0.482,306,280,94,17,204,298,14,33,21,0,771,271,0.351,719,1575,581,2737.56,0.516,548,1692,764,0.452
0699edf3-5993-4182-b9b4-ec935cbd4fcc,Mercury,Phoenix,2021,631,1.54,486,109,167,0,0,0,98.97,903,0.507,3043,0,166,90,0.542,221,348,133,0.382,530,324,0.611,2102,945,0.45,0,1,583,620,495,0.798,32,6450.0,3.66,72,102.63,255,2570.44,521,2626,2544,1142,1058,571,0.54,372,2558.8,1158,259,128,0.494,324,152,72,2,148,220,2,30,14,0,697,241,0.346,523,1378,439,2374.8,0.553,409,1405,704,0.501
5f0b5caf-708b-4300-92f2-53b51d83ec06,Wings,Dallas,2023,813,1.55,563,147,171,0,2,0,101.74,1076,0.489,4037,2,354,223,0.63,525,503,183,0.364,768,519,0.676,2926,1295,0.443,4,6,725,811,654,0.806,40,8025.0,2.79,73,104.53,471,3338.0,754,3514,3396,1694,1581,847,0.536,590,3361.84,1547,460,221,0.48,510,303,87,13,238,325,11,27,31,0,853,270,0.317,767,1872,550,3282.84,0.535,523,2073,1025,0.494
5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Mystics,Washington,2023,768,1.57,736,117,130,0,7,0,97.89,1028,0.486,3558,0,237,142,0.599,346,555,212,0.382,531,347,0.653,2699,1156,0.428,5,2,719,728,599,0.823,40,8025.0,0.15,65,98.04,263,3304.84,743,3221,3235,1270,1215,635,0.523,498,3285.32,1291,270,133,0.493,233,309,88,27,183,271,20,40,35,0,923,310,0.336,770,1562,529,3019.32,0.533,489,1776,846,0.476
